STATEFP|DISTRICT|NAME|NAMELSAD
34|02340|Brigantine City School District|Brigantine City School District
34|02370|Brooklawn Borough School District|Brooklawn Borough School District
34|02400|Buena Regional School District|Buena Regional School District
34|02430|Burlington City School District|Burlington City School District
34|02460|Burlington Township School District|Burlington Township School District
34|02520|Butler Borough School District|Butler Borough School District
34|02580|Caldwell-West Caldwell School District|Caldwell-West Caldwell School District
34|02640|Camden City School District|Camden City School District
34|02760|Cape May Point Borough School District|Cape May Point Borough School District
34|02820|Carteret Borough School District|Carteret Borough School District
34|02850|Cedar Grove Township School District|Cedar Grove Township School District
34|03000|Cherry Hill Township School District|Cherry Hill Township School District
34|03030|Chesilhurst Borough School District|Chesilhurst Borough School District
34|03120|Cinnaminson Township School District|Cinnaminson Township School District
34|03150|Clark Township School District|Clark Township School District
34|03180|Clayton Borough School District|Clayton Borough School District
34|03240|Clementon Borough School District|Clementon Borough School District
34|03270|Cliffside Park Borough School District|Cliffside Park Borough School District
34|03300|Clifton City School District|Clifton City School District
34|03420|Collingswood Borough School District|Collingswood Borough School District
34|03480|Commercial Township School District|Commercial Township School District
34|03510|Corbin City School District|Corbin City School District
34|03540|Cranbury Township School District|Cranbury Township School District
34|03570|Cranford Township School District|Cranford Township School District
34|03600|Cresskill Borough School District|Cresskill Borough School District
34|03630|Deal Borough School District|Deal Borough School District
34|03690|Delanco Township School District|Delanco Township School District
34|03780|Delran Township School District|Delran Township School District
34|03840|Dennis Township School District|Dennis Township School District
34|03900|Deptford Township School District|Deptford Township School District
34|03930|Dover Town School District|Dover Town School District
34|03960|Downe Township School District|Downe Township School District
34|03990|Dumont Borough School District|Dumont Borough School District
34|04020|Dunellen Borough School District|Dunellen Borough School District
34|04110|East Brunswick Township School District|East Brunswick Township School District
34|04200|East Newark Borough School District|East Newark Borough School District
34|04230|East Orange City School District|East Orange City School District
34|04320|East Windsor Regional School District|East Windsor Regional School District
34|04440|Edgewater Borough School District|Edgewater Borough School District
34|04470|Edgewater Park Township School District|Edgewater Park Township School District
34|04500|Edison Township School District|Edison Township School District
34|04560|Egg Harbor Township School District|Egg Harbor Township School District
34|04590|Elizabeth City School District|Elizabeth City School District
34|04660|Elmwood Park Borough School District|Elmwood Park Borough School District
34|04680|Elsinboro Township School District|Elsinboro Township School District
34|04710|Emerson Borough School District|Emerson Borough School District
34|04740|Englewood City School District|Englewood City School District
34|04770|Englewood Cliffs Borough School District|Englewood Cliffs Borough School District
34|04860|Estell Manor City School District|Estell Manor City School District
34|04920|Ewing Township School District|Ewing Township School District
34|04980|Fair Lawn Borough School District|Fair Lawn Borough School District
34|05070|Fairview Borough School District|Fairview Borough School District
34|05220|Florence Township School District|Florence Township School District
34|05280|Folsom Borough School District|Folsom Borough School District
34|05310|Fort Lee Borough School District|Fort Lee Borough School District
34|05490|Franklin Township School District|Franklin Township School District
